CosMx™ Human Universal Cell Characterization Panel  - Gene and Probe Details,,,,,,
Display Name,Gene Symbol(s),Gene Name(s),Alias(es),Panel Type,,CodeClass
CD47,CD47,CD47 molecule,"IAP,OA3; antigen identified by monoclonal antibody 1D8,antigenic surface determinant protein OA3,integrin associated protein,Rh-related antigen,leukocyte surface antigen CD47,CD47 glycoprotein; CD47 antigen (Rh-related antigen, integrin-associated signal transducer)",Core,,
CD48,CD48,CD48 molecule,"CD48 antigen (B-cell membrane protein),CD48 molecule ; BLAST,mCD48,hCD48,SLAMF2",Core,,
CD52,CD52,CD52 molecule,"CD52 antigen (CAMPATH-1 antigen); HE5,EDDM5",Core,,
CD53,CD53,CD53 molecule,TSPAN25; CD53 antigen,Core,,
CD55,CD55,CD55 molecule (Cromer blood group),"decay accelerating factor for complement (CD55, Cromer blood group system),CD55 molecule, decay accelerating factor for complement (Cromer blood group); CR,TC,CROM",Core,,
CD58,CD58,CD58 molecule,"CD58 antigen, (lymphocyte function-associated antigen 3)",Core,,
CD59,CD59,CD59 molecule (CD59 blood group),"CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344),CD59 antigen, complement regulatory protein,CD59 molecule, complement regulatory protein,CD59 molecule; 16.3A5,EJ16,EJ30,EL32,G344,p18-20",Core,,
CD5L,CD5L,CD5 molecule like,"Spalpha; apoptosis inhibitor 6,CD5 antigen-like (scavenger receptor cysteine rich family),CD5 molecule-like",Core,,
CD63,CD63,CD63 molecule,"ME491,TSPAN30; CD63 antigen (melanoma 1 antigen)",Core,,
CD68,CD68,CD68 molecule,"CD68 antigen; scavenger receptor class D, member 1,CD68 antigen,macrophage antigen CD68,macrosialin; SCARD1,GP110,DKFZp686M18236,LAMP4",Core,,
CD69,CD69,CD69 molecule,"CD69 antigen (p60, early T-cell activation antigen); CLEC2C",Core,,
CD70,CD70,CD70 molecule,"CD27L; tumor necrosis factor (ligand) superfamily, member 7",Core,,
CD74,CD74,CD74 molecule,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated),CD74 molecule, major histocompatibility complex, class II invariant chain; HLA-DR-gamma,Ia-associated invariant chain,gamma chain of class II antigens,MHC HLA-DR gamma chain,class II MHC-associated invariant chain peptide; CLIP",Core,,
CD79A,CD79A,CD79a molecule,"CD79A antigen (immunoglobulin-associated alpha),CD79a molecule, immunoglobulin-associated alpha; B-cell antigen receptor complex-associated protein alpha chain; MB-1,Ig-alpha,MB1,IGAlpha",Core,,
CD80,CD80,CD80 molecule,"B7.1,B7-1; B-lymphocyte activation antigen B7; CD80 antigen (CD28 antigen ligand 1, B7-1 antigen),CD80 molecule ",Core,,
CD81,CD81,CD81 molecule,"CD81 antigen (target of antiproliferative antibody 1); TAPA-1,TSPAN28",Core,,
CD83,CD83,CD83 molecule,"CD83 antigen (activated B lymphocytes, immunoglobulin superfamily),CD83 molecule ; HB15,BL11",Core,,
CD84,CD84,CD84 molecule,"SLAMF5,hCD84,mCD84; CD84 antigen (leukocyte antigen),CD84 molecule ",Core,,
CD86,CD86,CD86 molecule,"B-lymphocyte antigen B7-2; B7.2,B7-2; CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)",Core,,
CD8A,CD8A,CD8a molecule,"CD8 antigen, alpha polypeptide (p32),T-cell surface glycoprotein CD8 alpha chain",Core,,
CD8B,CD8B | CD8B2,CD8b molecule | CD8b2 molecule,"CD8 antigen, beta polypeptide 1 (p37) | CD8 antigen, beta polypeptide 2, pseudogene (p37),CD8b molecule pseudogene",Core,,
CD9,CD9,CD9 molecule,"BA2,P24,TSPAN29,MRP-1; CD9 antigen (p24); motility related protein-1",Core,,
CD93,CD93,CD93 molecule,"C1qRP,C1qR(P),dJ737E23.1,CDw93,ECSM3; matrix-remodelling associated 4,complement component 1, q subcomponent, receptor 1,CD93 antigen",Add-On,,
CDH1,CDH1,cadherin 1,"cadherin 1, type 1, E-cadherin (epithelial); E-Cadherin; uvomorulin,CD324",Core,,
CDH11,CDH11,cadherin 11,"OB,CAD11; cadherin 11, type 2, OB-cadherin (osteoblast); OB-Cadherin",Core,,
CDH19,CDH19,cadherin 19,"CDH7; cadherin 19, type 2",Core,,
CDH5,CDH5,cadherin 5,"VE-cadherin; cadherin 5, type 2, VE-cadherin (vascular epithelium),cadherin 5, type 2 (vascular endothelium); 7B4,CD144",Core,,
CDKN1A,CDKN1A,cyclin dependent kinase inhibitor 1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1); P21,CIP1,WAF1,SDI1,CAP20,p21CIP1,p21Cip1/Waf1,p21",Core,,
CDKN3,CDKN3,cyclin dependent kinase inhibitor 3,"kinase associated phosphatase,cyclin-dependent kinase inhibitor,CDK2-associated dual specificity phosphatase; KAP,CDI1",Core,,
CEACAM1,CEACAM1,CEA cell adhesion molecule 1,"BGP1,CD66a; carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein),carcinoembryonic antigen related cell adhesion molecule 1",Core,,
CEACAM6,CEACAM6,CEA cell adhesion molecule 6,"CD66c; carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen),carcinoembryonic antigen related cell adhesion molecule 6",Core,,
CELSR1,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1,"flamingo homolog 2 (Drosophila),adhesion G protein-coupled receptor C1; cadherin, EGF LAG seven-pass G-type receptor 1, flamingo (Drosophila) homolog,cadherin, EGF LAG seven-pass G-type receptor 1; ME2,HFMI2,FMI2,CDHF9,ADGRC1",Core,,
CELSR2,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2,"adhesion G protein-coupled receptor C2; KIAA0279,MEGF3,Flamingo1,CDHF10,ADGRC2; cadherin, EGF LAG seven-pass G-type receptor 2, flamingo (Drosophila) homolog,cadherin, EGF LAG seven-pass G-type receptor 2",Core,,
CENPF,CENPF,centromere protein F,"hcp-1; mitosin; centromere protein F, 350/400kDa (mitosin),centromere protein F, 350/400kDa",Core,,
CFD,CFD,complement factor D,"ADN; D component of complement (adipsin),properdin factor D,complement factor D (adipsin); adipsin",Core,,
CFLAR,CFLAR,CASP8 and FADD like apoptosis regulator,"CASP8 and FADD-like apoptosis regulator; CASH,Casper,CLARP,FLAME,FLIP,I-FLICE,MRIT,c-FLIP,cFLIP",Core,,
CHEK1,CHEK1,checkpoint kinase 1,"CHK1; CHK1 (checkpoint, S.pombe) homolog,CHK1 checkpoint homolog (S. pombe)",Core,,
CHEK2,CHEK2,checkpoint kinase 2,"CHK2 (checkpoint, S.pombe) homolog,CHK2 checkpoint homolog (S. pombe); CDS1,CHK2,HuCds1,PP1425,bA444G7",Core,,
CHI3L1,CHI3L1,chitinase 3 like 1,"chitinase 3-like 1 (cartilage glycoprotein-39); GP39,YKL40,YK-40; cartilage glycoprotein-39",Core,,
CIDEA,CIDEA,cell death inducing DFFA like effector a,CIDE-A; cell death-inducing DFFA-like effector a,Core,,
CIITA,CIITA,class II major histocompatibility complex transactivator,"C2TA,NLRA; NLR family, acid domain containing,nucleotide-binding oligomerization domain, leucine rich repeat and acid domain containing; MHC class II transactivator,class II, major histocompatibility complex, transactivator",Core,,
CLCF1,CLCF1,cardiotrophin like cytokine factor 1,"NNT1,BSF3,CLC,NR6,CISS2,BSF-3,NNT-1; CRLF1 associated cytokine-like factor 1; B-cell stimulating factor 3,cold-induced sweating syndrome 2,novel neurotrophin-1",Core,,
CLDN4,CLDN4,claudin 4,"Clostridium perfringens enterotoxin receptor 1,Williams-Beuren syndrome chromosomal region 8 protein; CPE-R,WBSCR8,hCPE-R",Core,,
CLEC10A,CLEC10A,C-type lectin domain containing 10A,"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 14 (macrophage-derived),C-type lectin domain family 10, member A,C-type lectin domain family 10 member A; HML2,HML,CD301; macrophage lectin 2 (calcium dependent)",Core,,
CLEC12A,CLEC12A,C-type lectin domain family 12 member A,"CLL-1,MICL,CD371,DCAL-2; C-type lectin domain family 12, member A; dendritic cell-associated lectin 2,myeloid inhibitory C-type lectin-like receptor",Core,,
CLEC14A,CLEC14A,C-type lectin domain containing 14A,"chromosome 14 open reading frame 27,C-type lectin domain family 14, member A,C-type lectin domain family 14 member A",Core,,
CLEC1A,CLEC1A,C-type lectin domain family 1 member A,"C-type lectin domain family 1, member A; CLEC1,CLEC-1,MGC34328",Core,,
CLEC2B,CLEC2B,C-type lectin domain family 2 member B,"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced),C-type lectin domain family 2, member B; AICL,HP10085",Core,,
CLEC2D,CLEC2D,C-type lectin domain family 2 member D,"C-type lectin superfamily 2, member D,C-type lectin domain family 2, member D; LLT1,CLAX,OCIL; C-type lectin related f,lectin-like transcript 1",Core,,
CLEC4A,CLEC4A,C-type lectin domain family 4 member A,"DCIR,DDB27,CD367,hDCIR; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 6,C-type lectin domain family 4, member A",Core,,
CLEC4D,CLEC4D,C-type lectin domain family 4 member D,"Dectin 3; Mpcl,CD368,MCL,Dectin-3; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 8,C-type lectin domain family 4, member D",Core,,
CLEC4E,CLEC4E,C-type lectin domain family 4 member E,"MINCLE; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 9,C-type lectin domain family 4, member E; Macrophage-inducible C-type lectin",Core,,
CLEC5A,CLEC5A,C-type lectin domain containing 5A,"MDL-1; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 5,C-type lectin domain family 5, member A,C-type lectin domain family 5 member A",Core,,
CLEC7A,CLEC7A,C-type lectin domain containing 7A,"DECTIN-1,hDectin-1,CD369,SCARE2; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12,C-type lectin domain family 7, member A,C-type lectin domain family 7 member A",Core,,
CLOCK,CLOCK,clock circadian regulator,"KIAA0334,KAT13D,bHLHe8; Circadian locomoter output cycles protein kaput; clock (mouse) homolog,clock homolog (mouse)",Core,,
CLU,CLU,clusterin,"complement lysis inhibitor,sulfated glycoprotein 2,testosterone-repressed prostate message 2,apolipoprotein J; clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J); SGP-2,SP-40,TRPM-2,KUB1,CLU1,CLU2",Core,,
CMKLR1,CMKLR1,chemerin chemokine-like receptor 1,"chemokine-like receptor 1; RVER1; resolvin E1 receptor,chemerin receptor",Core,,
CNTFR,CNTFR,ciliary neurotrophic factor receptor,,Core,,
COL11A1,COL11A1,collagen type XI alpha 1 chain,"collagen XI, alpha-1 polypeptide; STL2,CO11A1; collagen, type XI, alpha 1,deafness, autosomal dominant 37",Core,,
COL12A1,COL12A1,collagen type XII alpha 1 chain,"collagen type XII proteoglycan; collagen, type XII, alpha 1-like,collagen, type XII, alpha 1",Core,,
COL14A1,COL14A1,collagen type XIV alpha 1 chain,"undulin,collagen, type XIV, alpha 1",Core,,
COL15A1,COL15A1,collagen type XV alpha 1 chain,"collagen, type XV, alpha 1; collagen type XV proteoglycan",Core,,
COL16A1,COL16A1,collagen type XVI alpha 1 chain,"collagen, type XVI, alpha 1",Core,,
COL17A1,COL17A1,collagen type XVII alpha 1 chain,"BP180; collagen, type XVII, alpha 1",Core,,
COL18A1,COL18A1,collagen type XVIII alpha 1 chain,"KS,KNO1; Knobloch syndrome, type 1,collagen, type XVIII, alpha 1; endostatin",Core,,
COL1A1,COL1A1,collagen type I alpha 1 chain,"OI4; collagen, type I, alpha 1",Core,,
COL1A2,COL1A2,collagen type I alpha 2 chain,"osteogenesis imperfecta type IV,collagen, type I, alpha 2,collagen type I alpha 2; alpha 2(I)-collagen,alpha-2 collagen type I,type I procollagen,collagen I, alpha-2 polypeptide,collagen of skin, tendon and bone, alpha-2 chain",Core,,
COL21A1,COL21A1,collagen type XXI alpha 1 chain,"collagen, type XXI, alpha 1",Core,,
COL27A1,COL27A1,collagen type XXVII alpha 1 chain,"KIAA1870,MGC11337,FLJ11895; collagen, type XXVII, alpha 1,collagen type XXVII alpha 1",Core,,
COL3A1,COL3A1,collagen type III alpha 1 chain,"Ehlers-Danlos syndrome type IV, autosomal dominant,collagen, type III, alpha 1",Core,,
COL4A1,COL4A1,collagen type IV alpha 1 chain,"collagen, type IV, alpha 1",Core,,
COL4A2,COL4A2,collagen type IV alpha 2 chain,"FLJ22259,DKFZp686I14213; collagen type IV alpha 2; canstatin,collagen type IV alpha 2",Core,,
COL4A5,COL4A5,collagen type IV alpha 5 chain,"Alport syndrome,collagen, type IV, alpha 5,collagen type IV alpha 5",Core,,
COL5A1,COL5A1,collagen type V alpha 1 chain,alpha 1 type V collagen; collagen type V alpha 1,Core,,
COL5A2,COL5A2,collagen type V alpha 2 chain,"collagen, type V, alpha 2; AB collagen",Core,,
COL5A3,COL5A3,collagen type V alpha 3 chain,collagen type V alpha 3,Core,,
COL6A1,COL6A1,collagen type VI alpha 1 chain,"collagen, type VI, alpha 1",Core,,
COL6A2,COL6A2,collagen type VI alpha 2 chain,collagen type VI alpha 2,Core,,
COL6A3,COL6A3,collagen type VI alpha 3 chain,"collagen, type VI, alpha 3",Core,,
COL8A1,COL8A1,collagen type VIII alpha 1 chain,"MGC9568; chromosome 3 open reading frame 7,collagen, type VIII, alpha 1",Core,,
COL9A2,COL9A2,collagen type IX alpha 2 chain,"collagen, type IX, alpha 2; MED",Core,,
COL9A3,COL9A3,collagen type IX alpha 3 chain,"collagen, type IX, alpha 3; IDD,MED,EDM3,FLJ90759,DJ885L7.4.1; collagen type IX proteoglycan",Core,,
COTL1,COTL1,coactosin like F-actin binding protein 1,"CLP; coactosin-like 1 (Dictyostelium),coactosin-like F-actin binding protein 1",Core,,
COX4I2,COX4I2,cytochrome c oxidase subunit 4I2,"COXIV-2,COX4B,dJ857M17.2,COX4-2; cytochrome c oxidase subunit IV isoform 2,cytochrome c oxidase subunit IV isoform 2 (lung); cytochrome c oxidase subunit IV-like 2",Add-On,,
CPA3,CPA3,carboxypeptidase A3,"mast cell carboxypeptidase A,tissue carboxypeptidase A; carboxypeptidase A3 (mast cell)",Core,,
CPB1,CPB1,carboxypeptidase B1,"pancreatic carboxypeptidase B,tissue carboxypeptidase B,protaminase; carboxypeptidase B1 (tissue)",Core,,
CRIP1,CRIP1,cysteine rich protein 1,cysteine-rich protein 1 (intestinal); CRIP,Core,,
CRP,CRP,C-reactive protein,"PTX1; pentraxin 1; C-reactive protein, pentraxin-related",Core,,
CRYAB,CRYAB,crystallin alpha B,"HSPB5; crystallin, alpha B",Core,,
CSF1,CSF1,colony stimulating factor 1,"colony stimulating factor 1 (macrophage); macrophage colony stimulating factor 1; M-CSF,MCSF,MGC31930",Core,,
CSF1R,CSF1R,colony stimulating factor 1 receptor,"C-FMS,CSFR,CD115; McDonough feline sarcoma viral (v-fms) oncogene homolog",Core,,
CSF2,CSF2,colony stimulating factor 2,"colony stimulating factor 2 (granulocyte-macrophage); GM-CSF,GMCSF; sargramostim,molgramostim,granulocyte-macrophage colony stimulating factor",Core,,
CSF2RA,CSF2RA,colony stimulating factor 2 receptor subunit alpha,"CD116,alphaGMR; colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage); alpha-GM-CSF receptor",Core,,
CSF2RB,CSF2RB,colony stimulating factor 2 receptor subunit beta,"beta common cytokine receptor,beta-GM-CSF receptor; IL5RB,CD131,betaGMR; colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage),colony stimulating factor 2 receptor beta common subunit",Core,,
CSF3,CSF3,colony stimulating factor 3,"MGC45931; chromosome 17 open reading frame 33,colony stimulating factor 3 (granulocyte); granulocyte colony stimulating factor,pluripoietin,filgrastim,lenograstim",Core,,
CSF3R,CSF3R,colony stimulating factor 3 receptor,colony stimulating factor 3 receptor (granulocyte); GCSFR,Core,,
CSHL1,CSH1 | CSH2 | CSHL1,chorionic somatomammotropin hormone 1 | chorionic somatomammotropin hormone 2 | chorionic somatomammotropin hormone like 1,"hCS-A,CSA,PL,CSMT,FLJ75407; chorionic somatomammotropin A,placental lactogen,choriomammotropin | hCS-B,CSB,CS-2; placental lactogen,chorionic somatomammotropin B | chorionic somatomammotropin CS-5; hCS-L,CSL,CS-5,MGC149868",Core,,
CSK,CSK,C-terminal Src kinase,"c-src tyrosine kinase,CSK, non-receptor tyrosine kinase",Core,,
CSPG4,CSPG4,chondroitin sulfate proteoglycan 4,"melanoma-associated chondroitin sulfate proteoglycan; chondroitin sulfate proteoglycan 4 (melanoma-associated); MCSPG,MEL-CSPG,MSK16,NG2,MCSP,HMW-MAA,CSPG4A",Add-On,,
CST7,CST7,cystatin F,cystatin F (leukocystatin); leukocystatin,Core,,
CSTB,CSTB,cystatin B,"CST6,PME; stefin B,Epilepsy, progressive myoclonic 1; cystatin B (stefin B)",Add-On,,
CTLA4,CTLA4,cytotoxic T-lymphocyte associated protein 4,"CD152,CD,GSE,CTLA-4; celiac disease 3,insulin-dependent diabetes mellitus 12",Core,,
CTNNB1,CTNNB1,catenin beta 1,"catenin (cadherin-associated protein), beta 1 (88kD),catenin (cadherin-associated protein), beta 1, 88kDa,catenin (cadherin-associated protein), beta 1; beta-catenin,armadillo",Core,,
CTSD,CTSD,cathepsin D,"ceroid-lipofuscinosis, neuronal 10; cathepsin D (lysosomal aspartyl protease); CLN10",Add-On,,
CTSG,CTSG,cathepsin G,CG,Core,,
CTSW,CTSW,cathepsin W,cathepsin W (lymphopain),Core,,
CUZD1,CUZD1 | FAM24B-CUZD1,CUB and zona pellucida like domains 1 | ,"CUB and zona pellucida-like domains 1; ERG-1,UO-44 | ",Core,,
CX3CL1,CX3CL1,C-X3-C motif chemokine ligand 1,"small inducible cytokine subfamily D (Cys-X3-Cys), member 1 (fractalkine, neurotactin),chemokine (C-X3-C motif) ligand 1; NTN,C3Xkine,ABCD-3,CXC3C,CXC3; fractalkine,neurotactin",Core,,
CX3CR1,CX3CR1,C-X3-C motif chemokine receptor 1,"CMKDR1,V28,CCRL1; chemokine (C-X3-C) receptor 1,chemokine (C-X3-C motif) receptor 1",Core,,
CXCL1/2/3,CXCL1 | CXCL2 | CXCL3,C-X-C motif chemokine ligand 1 | C-X-C motif chemokine ligand 2 | C-X-C motif chemokine ligand 3,"melanoma growth stimulating activity, alpha; SCYB1,GROa,MGSA-a,NAP-3; GRO1 oncogene (melanoma growth stimulating activity, alpha),fibroblast secretory protein,chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) | GRO2 oncogene,chemokine (C-X-C motif) ligand 2; SCYB2,GROb,MIP-2a,MGSA-b,CINC-2a | SCYB3,GROg,MIP-2b,CINC-2b; GRO3 oncogene,chemokine (C-X-C motif) ligand 3",Core,,
CXCL10,CXCL10,C-X-C motif chemokine ligand 10,"IFI10,IP-10,crg-2,mob-1,C7,gIP-10; small inducible cytokine subfamily B (Cys-X-Cys), member 10,chemokine (C-X-C motif) ligand 10",Core,,
CXCL12,CXCL12,C-X-C motif chemokine ligand 12,"stromal cell-derived factor 1,chemokine (C-X-C motif) ligand 12; SCYB12,SDF-1a,SDF-1b,PBSF,TLSF-a,TLSF-b,TPAR1",Core,,
CXCL13,CXCL13,C-X-C motif chemokine ligand 13,"small inducible cytokine B subfamily (Cys-X-Cys motif), member 13 (B-cell chemoattractant),chemokine (C-X-C motif) ligand 13; B-cell chemoattractant; BLC,BCA-1,BLR1L,ANGIE,ANGIE2",Add-On,,
CXCL14,CXCL14,C-X-C motif chemokine ligand 14,"small inducible cytokine subfamily B (Cys-X-Cys), member 14 (BRAK),chemokine (C-X-C motif) ligand 14; breast and kidney; BRAK,NJAC,bolekine,Kec,MIP-2g,BMAC,KS1",Core,,
CXCL16,CXCL16,C-X-C motif chemokine ligand 16,"SR-PSOX,CXCLG16,SRPSOX; chemokine (C-X-C motif) ligand 16; CXC chemokine ligand 16",Core,,
CXCL17,CXCL17,C-X-C motif chemokine ligand 17,"chemokine (C-X-C motif) ligand 17; Dcip1,UNQ473,DMC,VCC1",Core,,
CXCL5,CXCL5 | CXCL6,C-X-C motif chemokine ligand 5 | C-X-C motif chemokine ligand 6,"small inducible cytokine subfamily B (Cys-X-Cys), member 5 (epithelial-derived neutrophil-activating peptide 78),chemokine (C-X-C motif) ligand 5; ENA-78 | GCP-2,CKA-3; small inducible cytokine subfamily B (Cys-X-Cys), member 6 (granulocyte chemotactic protein 2),chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2),chemokine (C-X-C motif) ligand 6; granulocyte chemotactic protein 2",Core,,
CXCL8,CXCL8,C-X-C motif chemokine ligand 8,"interleukin 8,chemokine (C-X-C motif) ligand 8; SCYB8,LUCT,LECT,MDNCF,TSG-1,IL-8,NAP-1,3-10C,MONAP,AMCF-I,LYNAP,NAF,b-ENAP,GCP-1,K60,GCP1,NAP1; neutrophil-activating peptide 1,granulocyte chemotactic protein 1,monocyte-derived neutrophil chemotactic factor,lung giant cell carcinoma-derived chemotactic protein,tumor necrosis factor-induced gene 1,monocyte-derived neutrophil-activating peptide,lymphocyte derived neutrophil activating peptide,beta endothelial cell-derived neutrophil activating peptide,alveolar macrophage chemotactic factor I",Core,,
CXCL9,CXCL9,C-X-C motif chemokine ligand 9,"monokine induced by gamma interferon,chemokine (C-X-C motif) ligand 9; SCYB9,Humig,crg-10",Core,,
CXCR1,CXCR1,C-X-C motif chemokine receptor 1,"CKR-1,CDw128a,CD181; interleukin 8 receptor, alpha,chemokine (C-X-C motif) receptor 1",Core,,
CXCR2,CXCR2 | CXCR2P1,C-X-C motif chemokine receptor 2 | C-X-C motif chemokine receptor 2 pseudogene 1,"interleukin 8 receptor, beta,chemokine (C-X-C motif) receptor 2; CMKAR2,CD182 | interleukin 8 receptor, beta pseudogene,chemokine (C-X-C motif) receptor 2 pseudogene,chemokine (C-X-C motif) receptor 2 pseudogene 1",Core,,
CXCR3,CXCR3,C-X-C motif chemokine receptor 3,"CKR-L2,CMKAR3,IP10-R,MigR,CD183; G protein-coupled receptor 9,chemokine (C-X-C motif) receptor 3",Core,,
CXCR4,CXCR4,C-X-C motif chemokine receptor 4,"chemokine (C-X-C motif), receptor 4 (fusin),chemokine (C-X-C motif) receptor 4; LESTR,NPY3R,HM89,NPYY3R,D2S201E,fusin,HSY3RR,NPYR,CD184",Core,,
CXCR5,CXCR5,C-X-C motif chemokine receptor 5,"MDR15,CD185; Burkitt lymphoma receptor 1, GTP-binding protein,Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5),chemokine (C-X-C motif) receptor 5",Core,,
CXCR6,CXCR6,C-X-C motif chemokine receptor 6,"chemokine (C-X-C motif) receptor 6; TYMSTR,STRL33,BONZO,CD186",Core,,
CYP1B1,CYP1B1,cytochrome P450 family 1 subfamily B member 1,"cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile),cytochrome P450, family 1, subfamily B, polypeptide 1; CP1B",Core,,
CYP2U1,CYP2U1,cytochrome P450 family 2 subfamily U member 1,"SPG49; spastic paraplegia 49; cytochrome P450, family 2, subfamily U, polypeptide 1,spastic paraplegia 56 (autosomal dominant)",Core,,
CYSTM1,CYSTM1,cysteine rich transmembrane module containing 1,ORF1-FL49; chromosome 5 open reading frame 32,Core,,
CYTOR,CYTOR | MIR4435-2HG,cytoskeleton regulator RNA | MIR4435-2 host gene,"chromosome 2 open reading frame 59,non-protein coding RNA 152,long intergenic non-protein coding RNA 152; MGC4677 | long intergenic non-protein coding RNA 978,adipogenesis down-regulated transcript 2,lncRNA associated with poor prognosis of HCC,myeloid RNA regulator of Bim-induced death; MIR4435-1 host gene (non-protein coding),MIR4435-1 host gene; LINC00978,AGD2,AK001796,lncRNA-AWPPH,MORRBID",Core,,
DCN,DCN,decorin,"DSPG2,SLRR1B; decorin proteoglycan",Core,,
DDC,DDC,dopa decarboxylase,AADC; aromatic L-amino acid decarboxylase,Core,,
DDIT3,DDIT3,DNA damage inducible transcript 3,"CHOP10,GADD153,CHOP; DNA-damage-inducible transcript 3; C/EBP zeta",Core,,
DDR1,DDR1,discoidin domain receptor tyrosine kinase 1,"discoidin domain receptor family, member 1; RTK6,CD167",Core,,
DDR2,DDR2,discoidin domain receptor tyrosine kinase 2,"TKT; discoidin domain receptor family, member 2",Core,,
DDX58,RIGI,RNA sensor RIG-I,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 58,DExD/H-box helicase 58; RNA helicase RIG-I,retinoic acid inducible gene I,Antiviral innate immune response receptor RIG-I; RIG-I,FLJ13599,DKFZp434J1111,RIG-1,RIG1",Core,,
DHRS2,DHRS2,dehydrogenase/reductase 2,"short chain dehydrogenase/reductase family 25C, member 1; HEP27,SDR25C1; dehydrogenase/reductase (SDR family) member 2",Core,,
DLL1,DLL1,delta like canonical Notch ligand 1,"delta (Drosophila)-like 1,delta-like 1 (Drosophila)",Core,,
DLL4,DLL4,delta like canonical Notch ligand 4,"delta-like 4 homolog (Drosophila),delta-like 4 (Drosophila)",Core,,
DMBT1,DMBT1,deleted in malignant brain tumors 1,"salivary agglutinin,salivary scavenger and agglutinin; GP340,muclin,SALSA,Gp-340,hensin,vomeroglandin",Core,,
DNMT1,DNMT1,DNA methyltransferase 1,"DNA (cytosine-5-)-methyltransferase 1; MCMT,CXXC9",Core,,
DNMT3A,DNMT3A,DNA methyltransferase 3 alpha,DNA (cytosine-5-)-methyltransferase 3 alpha,Core,,
DPP4,DPP4,dipeptidyl peptidase 4,"DPPIV; dipeptidylpeptidase IV (CD26, adenosine deaminase complexing protein 2),adenosine deaminase complexing protein 2,dipeptidyl-peptidase 4",Core,,
DPT,DPT,dermatopontin,,Add-On,,
DST,DST,dystonin,"bullous pemphigoid antigen 1, 230/240kDa; BP240,KIAA0728,FLJ21489,FLJ13425,FLJ32235,FLJ30627,CATX-15,BPA,MACF2",Core,,
DUSP1,DUSP1,dual specificity phosphatase 1,"HVH1,CL100,MKP-1",Core,,
DUSP2,DUSP2,dual specificity phosphatase 2,PAC-1,Core,,
DUSP4,DUSP4,dual specificity phosphatase 4,"HVH2,MKP-2,TYP; VH1 homologous phosphatase 2,MAP kinase phosphatase 2",Core,,
DUSP5,DUSP5,dual specificity phosphatase 5,HVH3,Core,,
DUSP6,DUSP6,dual specificity phosphatase 6,"MKP-3,PYST1",Core,,
EFNA1,EFNA1,ephrin A1,"LERK1,ECKLG,GMAN; ephrin-A1; EPH-related receptor tyrosine kinase ligand 1,Tumor necrosis factor alpha-induced protein 4,gastric cancer metastasis associated long noncoding RNA",Core,,
EFNA4,EFNA4,ephrin A4,LERK4; ephrin-A4; EPH-related receptor tyrosine kinase ligand 4,Core,,
EFNA5,EFNA5,ephrin A5,"EPH-related receptor tyrosine kinase ligand 7; AF1,LERK7; ephrin-A5",Core,,
EFNB1,EFNB1,ephrin B1,"LERK2,Elk-L; craniofrontonasal syndrome (craniofrontonasal dysplasia),ephrin-B1; EPH-related receptor tyrosine kinase ligand 2",Core,,
EFNB2,EFNB2,ephrin B2,"ephrin-B2; LERK5,Htk-L,HTKL,MGC126226,MGC126227,MGC126228; HTK ligand,ligand of eph-related kinase 5,eph-related receptor tyrosine kinase ligand 5",Core,,
EGF,EGF,epidermal growth factor,Pro-epidermal growth factor; epidermal growth factor (beta-urogastrone),Core,,
EGFR,EGFR,epidermal growth factor receptor,"ERBB1,ERRP; epidermal growth factor receptor (avian erythroblastic leukemia viral (v-erb-b) oncogene homolog); erythroblastic leukemia viral (v-erb-b) oncogene homolog (avian),erb-b2 receptor tyrosine kinase 1",Core,,
