CosMx™ Human Universal Cell Characterization Panel  - Gene and Probe Details,,,,,,
Display Name,Gene Symbol(s),Gene Name(s),Alias(es),Panel Type,,CodeClass
ALCAM,ALCAM,activated leukocyte cell adhesion molecule,"CD166,MEMD; activated leucocyte cell adhesion molecule",Core,,
ALOX5AP,ALOX5AP,arachidonate 5-lipoxygenase activating protein,"five-lipoxygenase activating protein,MK-886-binding protein; FLAP; arachidonate 5-lipoxygenase-activating protein",Add-On,,
ANGPT1,ANGPT1,angiopoietin 1,"KIAA0003,Ang1,AGPT-1",Core,,
ANGPT2,ANGPT2,angiopoietin 2,Ang2,Core,,
ANGPTL1,ANGPTL1,angiopoietin like 1,"ANG3,AngY,ARP1; angiopoietin-like 1; angioarrestin",Core,,
ANKRD1,ANKRD1,ankyrin repeat domain 1,"ankyrin repeat domain 1 (cardiac muscle); C-193,ALRP,CARP,CVARP,MCARP",Core,,
ANXA1,ANXA1,annexin A1,,Core,,
ANXA2,ANXA2 | ANXA2P2,annexin A2 | annexin A2 pseudogene 2,LIP2; annexin II | ,Core,,
ANXA4,ANXA4,annexin A4,,Core,,
APOA1,APOA1,apolipoprotein A1,apolipoprotein A-I,Core,,
APOC1,APOC1 | APOC1P1,apolipoprotein C1 | apolipoprotein C1 pseudogene 1,apolipoprotein C-I | apolipoprotein C-I pseudogene 1; lincRNA-APOC1P1-3,Core,,
APOD,APOD,apolipoprotein D,Apo-D,Core,,
APOE,APOE,apolipoprotein E,"Alzheimer disease 2 (APOE*E4-associated, late onset)",Core,,
APP,APP,amyloid beta precursor protein,"peptidase nexin-II; alpha-sAPP; Alzheimer disease,amyloid beta (A4) precursor protein",Core,,
AQP3,AQP3,aquaporin 3 (Gill blood group),"GIL; aquaporin 3,aquaporin 3 (GIL blood group); Gill blood group",Core,,
AR,AR,androgen receptor,"dihydrotestosterone receptor,spinal and bulbar muscular atrophy; testicular feminization,Kennedy disease; AIS,NR3C4,SMAX1,HUMARA",Core,,
AREG,AREG,amphiregulin,"schwannoma-derived growth factor,amphiregulin B",Core,,
ARF1,ARF1,ADP ribosylation factor 1,,Core,,
ARG1,ARG1,arginase 1,"arginase-1; arginase, liver",Core,,
ARHGDIB,ARHGDIB,Rho GDP dissociation inhibitor beta,"Rho GDP dissociation inhibitor (GDI) beta; Ly-GDI,RhoGDI2",Core,,
ARID5B,ARID5B,AT-rich interaction domain 5B,"FLJ21150,MRF2; AT rich interactive domain 5B (MRF1-like)",Core,,
ATF3,ATF3,activating transcription factor 3,,Core,,
ATG10,ATG10,autophagy related 10,"APG10 autophagy 10-like (S. cerevisiae),ATG10 autophagy related 10 homolog (S. cerevisiae); DKFZP586I0418,FLJ13954",Core,,
ATG12,ATG12,autophagy related 12,"APG12 autophagy 12-like; Apg12 (autophagy 12, S. cerevisiae)-like,APG12 autophagy 12-like (S. cerevisiae),ATG12 autophagy related 12 homolog (S. cerevisiae); APG12",Core,,
ATG5,ATG5,autophagy related 5,"APG5 (autophagy 5, S. cerevisiae)-like,APG5 autophagy 5-like (S. cerevisiae),ATG5 autophagy related 5 homolog (S. cerevisiae); ASP,APG5,hAPG5",Core,,
ATM,ATM,ATM serine/threonine kinase,"ataxia telangiectasia mutated (includes complementation groups A, C and D),ataxia telangiectasia mutated; TEL1, telomere maintenance 1, homolog (S. cerevisiae); TEL1,TELO1",Core,,
ATP5F1B,ATP5F1B,ATP synthase F1 subunit beta,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",Add-On,,
ATP5F1E,ATP5F1E | SLMO2-ATP5E,ATP synthase F1 subunit epsilon | ,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit | ",Core,,
ATR,ATR,ATR serine/threonine kinase,"FRP1,SCKL,SCKL1,MEC1; MEC1, mitosis entry checkpoint 1, homolog (S. cerevisiae); ataxia telangiectasia and Rad3 related",Core,,
AXL,AXL,AXL receptor tyrosine kinase,"UFO,JTK11,Tyro7,ARK",Core,,
AZGP1,AZGP1,"alpha-2-glycoprotein 1, zinc-binding","ZA2G,ZAG; alpha-2-glycoprotein 1, zinc",Core,,
AZU1,AZU1,azurocidin 1,"AZU,CAP37,AZAMP,HBP,NAZC,HUMAZUR; cationic antimicrobial protein 37,heparin-binding protein,neutrophil azurocidin",Core,,
B2M,B2M,beta-2-microglobulin,,Core,,
B3GNT7,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",beta3GnT7,Core,,
BAG3,BAG3,BAG cochaperone 3,BAG family molecular chaperone regulator 3; BCL2 associated athanogene 3,Core,,
BASP1,BASP1 | BASP1P1,brain abundant membrane attached signal protein 1 | BASP1 pseudogene 1,"brain abundant, membrane attached signal protein 1; NAP-22,NAP22,CAP23,CAP-23 | brain abundant, membrane attached signal protein 1 pseudogene 1",Add-On,,
BAX,BAX,"BCL2 associated X, apoptosis regulator","BCL2L4; BCL2-associated X protein,BCL2 associated X protein",Core,,
BBLN,BBLN,bublin coiled coil protein,"chromosome 9 open reading frame 16; EST00098,FLJ12823,MGC4639",Core,,
BCL2,BCL2,BCL2 apoptosis regulator,"B-cell CLL/lymphoma 2,BCL2, apoptosis regulator; protein phosphatase 1, regulatory subunit 50; Bcl-2,PPP1R50",Core,,
BCL2L1,BCL2L1,BCL2 like 1,"BCLX,BCL2L,Bcl-X,bcl-xL,bcl-xS,PPP1R52; protein phosphatase 1, regulatory subunit 52",Core,,
BECN1,BECN1,beclin 1,"beclin 1 (coiled-coil, moesin-like BCL2 interacting protein),beclin 1, autophagy related; ATG6 autophagy related 6 homolog (S. cerevisiae); ATG6,VPS30",Core,,
BEST1,BEST1,bestrophin 1,"vitelliform macular dystrophy 2; BMD,BEST,RP50; Best disease",Core,,
BGN,BGN,biglycan,"DSPG1,SLRR1A; biglycan proteoglycan",Core,,
BID,BID,BH3 interacting domain death agonist,,Core,,
BIRC3,BIRC3,baculoviral IAP repeat containing 3,"baculoviral IAP repeat-containing 3; apoptosis inhibitor 2,TNFR2-TRAF signaling complex protein,mammalian IAP homolog C,inhibitor of apoptosis protein 1; cIAP2,hiap-1,MIHC,RNF49,MALT2,c-IAP2",Add-On,,
BIRC5,BIRC5,baculoviral IAP repeat containing 5,"apoptosis inhibitor 4,baculoviral IAP repeat-containing 5; EPR-1,survivin",Core,,
BMP1,BMP1,bone morphogenetic protein 1,"procollagen C-endopeptidase; procollagen C-endopeptidase,tolloid-like; BMP-1",Core,,
BMP2,BMP2,bone morphogenetic protein 2,,Core,,
BMP3,BMP3,bone morphogenetic protein 3,bone morphogenetic protein 3 (osteogenic); osteogenin,Core,,
BMP4,BMP4,bone morphogenetic protein 4,,Core,,
BMP5,BMP5,bone morphogenetic protein 5,,Core,,
BMP7,BMP7,bone morphogenetic protein 7,osteogenic protein 1; OP-1,Core,,
BMPR1A,BMPR1A,bone morphogenetic protein receptor type 1A,"ALK3,CD292; bone morphogenetic protein receptor, type IA",Core,,
BMPR2,BMPR2,bone morphogenetic protein receptor type 2,"primary pulmonary hypertension 1,bone morphogenetic protein receptor, type II (serine/threonine kinase),bone morphogenetic protein receptor type II; BRK-3,T-ALK,BMPR3,BMPR-II",Core,,
BRAF,BRAF,"B-Raf proto-oncogene, serine/threonine kinase","BRAF1,BRAF-1; v-raf murine sarcoma viral oncogene homolog B",Add-On,,
BRCA1,BRCA1,BRCA1 DNA repair associated,"BRCA1/BRCA2-containing complex, subunit 1,protein phosphatase 1, regulatory subunit 53,Fanconi anemia, complementation group S; breast cancer 1, early onset,breast cancer 1; RNF53,BRCC1,PPP1R53,FANCS",Core,,
BST1,BST1,bone marrow stromal cell antigen 1,"CD157,BST-1; NAD(+) nucleosidase,ADP-ribosyl cyclase 2",Core,,
BST2,BST2,bone marrow stromal cell antigen 2,"antiviral factor tetherin; CD317,tetherin,BST-2,HM1.24",Core,,
BTF3,BTF3 | BTF3P11,basic transcription factor 3 | basic transcription factor 3 pseudogene 11,"BTF3a,BTF3b; nascent-polypeptide-associated complex beta polypeptide | basic transcription factor 3, like 1,basic transcription factor 3-like 1, pseudogene,basic transcription factor 3, like 1 pseudogene; HUMBTFB,TNFRSF11B,OPG,OCIF; lambda h27A,BTF3 homologue",Core,,
BTG1,BTG1,BTG anti-proliferation factor 1,"B-cell translocation gene 1, anti-proliferative; APRO2",Core,,
BTK,BTK,Bruton tyrosine kinase,"Bruton agammaglobulinemia tyrosine kinase; Bruton's tyrosine kinase; ATK,XLA,PSCTK1",Core,,
C11orf96,C11orf96,chromosome 11 open reading frame 96,AG2,Core,,
C1QA,C1QA,complement C1q A chain,"complement component 1, q subcomponent, alpha polypeptide,complement component 1, q subcomponent, A chain,complement C1q chain A",Core,,
C1QB,C1QB,complement C1q B chain,"complement component 1, q subcomponent, beta polypeptide,complement component 1, q subcomponent, B chain,complement C1q chain B",Core,,
C1QC,C1QC,complement C1q C chain,"complement component 1, q subcomponent, gamma polypeptide,complement component 1, q subcomponent, C chain",Core,,
C5AR2,C5AR2,complement C5a receptor 2,"C5L2; G protein-coupled receptor 77,complement component 5a receptor 2",Core,,
CACNA1C,CACNA1C,calcium voltage-gated channel subunit alpha1 C,"Cav1.2,CACH2,CACN2,TS,LQT8; calcium channel, voltage-dependent, L type, alpha 1C subunit",Core,,
CALB1,CALB1,calbindin 1,"calbindin 1, 28kDa",Core,,
CALD1,CALD1,caldesmon 1,"CDM,H-CAD,L-CAD,h-CD",Core,,
CALM1,CALM1,calmodulin 1,"prepro-calmodulin 1,phosphorylase kinase subunit delta,phosphorylase kinase subunit delta 1; calmodulin 1 (phosphorylase kinase, delta); CAMI,PHKD,DD132,PHKD1",Core,,
CALM2,CALM2,calmodulin 2,"prepro-calmodulin 2,phosphorylase kinase subunit delta,phosphorylase kinase subunit delta 2; calmodulin 2 (phosphorylase kinase, delta); PHKD,PHKD2,CAMII",Core,,
CALM3,CALM3,calmodulin 3,"PHKD,PHKD3; prepro-calmodulin 3,phosphorylase kinase subunit delta,phosphorylase kinase subunit delta 3; calmodulin 3 (phosphorylase kinase, delta)",Core,,
CAMP,CAMP,cathelicidin antimicrobial peptide,"CAP18,FALL39,FALL-39,LL37",Core,,
CARMN,CARMN,cardiac mesoderm enhancer-associated non-coding RNA,"MIR143 and MIR145 host gene; MIR143 host gene (non-protein coding),MIR143 host gene; CARMEN",Core,,
CASP3,CASP3,caspase 3,"CPP32,CPP32B,Yama,apopain; caspase 3, apoptosis-related cysteine protease,caspase 3, apoptosis-related cysteine peptidase",Core,,
CASP8,CASP8,caspase 8,"MCH5,MACH,FLICE,Casp-8; caspase 8, apoptosis-related cysteine protease,caspase 8, apoptosis-related cysteine peptidase",Core,,
CASR,CASR,calcium sensing receptor,"severe neonatal hyperparathyroidism; hypocalciuric hypercalcemia 1,calcium-sensing receptor; FHH,NSHPT,GPRC2A",Core,,
CAV1,CAV1,caveolin 1,"caveolin 1, caveolae protein, 22kD,caveolin 1, caveolae protein, 22kDa",Core,,
CCDC80,CCDC80,coiled-coil domain containing 80,"steroid sensitive gene 1; long intergenic non-protein coding RNA 1279; URB,SSG1,DRO1,CL2,TCONS_00006930",Add-On,,
CCL11,CCL11,C-C motif chemokine ligand 11,"eotaxin,MGC22554; eotaxin-1; small inducible cytokine subfamily A (Cys-Cys), member 11 (eotaxin),chemokine (C-C motif) ligand 11",Core,,
CCL13,CCL13,C-C motif chemokine ligand 13,"small inducible cytokine subfamily A (Cys-Cys), member 13,chemokine (C-C motif) ligand 13; MCP-4,NCC-1,SCYL1,CKb10,MGC17134",Core,,
CCL15,CCL15 | CCL15-CCL14,C-C motif chemokine ligand 15 | CCL15-CCL14 readthrough (NMD candidate),"small inducible cytokine subfamily A (Cys-Cys), member 15,chemokine (C-C motif) ligand 15; leukotactin 1,CC chemokine 3,macrophage inflammatory protein 5,chemokine CC-2,MIP-1 delta; HCC-2,NCC-3,SCYL3,MIP-5,Lkn-1,MIP-1d,HMRP-2B | ",Core,,
CCL17,CCL17,C-C motif chemokine ligand 17,"TARC,ABCD-2; small inducible cytokine subfamily A (Cys-Cys), member 17,chemokine (C-C motif) ligand 17",Add-On,,
CCL18,CCL18,C-C motif chemokine ligand 18,"pulmonary and activation-regulated; small inducible cytokine subfamily A (Cys-Cys), member 18, pulmonary and activation-regulated,chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated),chemokine (C-C motif) ligand 18; DC-CK1,PARC,AMAC-1,DCCK1,MIP-4,CKb7",Core,,
CCL19,CCL19,C-C motif chemokine ligand 19,"small inducible cytokine subfamily A (Cys-Cys), member 19,chemokine (C-C motif) ligand 19; CC chemokine ligand 19,macrophage inflammatory protein 3-beta,beta chemokine exodus-3,CK beta-11,EBI1-ligand chemokine; ELC,MIP-3b,exodus-3,CKb11",Core,,
